"Nino12","Nino34","PDO","TSA","SAM","Rainfall"
-0.1525,-0.0925,-0.98025,-0.1425725,-1.6825,"dry"
-0.98,-1.205,-1.00575,0.0143825000000035,-2.536,"dry"
-0.3925,-0.92,-1.20525,-0.773952499999996,0.77125,"dry"
0.25,0.345,-1.29775,0.0252800000000022,-1.25625,"normal"
0.1525,0.0675,-1.20825,-0.128264999999999,-0.516,"dry"
-0.4875,0.19,-0.907,-0.2819675,-0.48825,"dry"
-0.875,-0.76,-0.6895,-0.357957499999998,0.50975,"normal"
-0.7275,-1.165,-0.491,-0.482517499999997,-1.03775,"dry"
-0.215,-0.325,-0.441,-0.322269999999996,-1.47525,"normal"
0.9175,1.2775,-0.379,-0.3113575,-1.9875,"wet"
0.1775,0.3725,-0.2865,0.032327500000001,0.42,"wet"
-0.29,-0.0875,-0.2955,-0.235847499999998,1.1925,"wet"
0.055,-0.0475,-0.1,-0.253799999999998,-0.5325,"wet"
-0.64,-0.2775,-0.013,0.011330000000001,0.875,"dry"
-0.5175,-0.2825,-0.12025,-0.0428700000000006,2.0125,"wet"
-0.6975,0.55,-0.26575,0.528100000000002,-1.4625,"normal"
-0.1825,-0.585,-0.20825,-0.213092499999998,-2.795,"dry"
0.1475,1.06,-0.40075,-0.212867499999998,-1.66,"wet"
-0.6825,-0.46,-0.4685,0.2372625,-1.805,"dry"
-1.215,-0.6125,-0.51125,-0.158695000000002,-0.8175,"wet"
0.195,0.8225,-0.627,0.473650000000003,-2.185,"normal"
-0.0375,0.4625,-0.62775,-0.16714,-0.16,"dry"
-1.1325,-1.2875,-0.70375,0.169497500000002,0.275,"wet"
0.0725,-0.485,-0.552,-0.127907499999999,-1.355,"dry"
0.7325,1.3625,-0.45525,0.93112,0.3075,"wet"
-0.7075,-1.785,-0.441,0.3813475,1.995,"wet"
-0.6325,-0.5375,-0.518,0.137140000000002,-1.625,"dry"
-0.6375,-1.2925,-0.28825,-0.405444999999997,0.025,"wet"
0.005,0.6075,-0.1005,-0.0900249999999971,-2.355,"wet"
-0.4375,0.595,0.02975,-0.106934999999996,-0.17,"wet"
-0.0925,0.085,0.2865,-0.215477499999999,0.335,"wet"
-0.1675,0.415,0.38325,0.00943249999999907,-1.55,"normal"
-0.86,-0.14,0.6185,-0.417759999999994,0.00749999999999995,"wet"
-0.34,-0.03,0.654,0.0677025000000029,1.605,"normal"
2.575,2.1675,0.6465,0.105522500000003,-1.1175,"wet"
-0.3125,-0.69,0.61625,0.750115000000001,-0.64,"wet"
-0.7475,-1.0725,0.50725,0.467010000000002,-1.425,"wet"
-0.6325,-0.585,0.25325,0.242605000000005,-0.97,"normal"
0.8675,1.145,0.25375,0.232379999999999,-1.2,"dry"
0.0475,0.595,0.18,0.727410000000003,-0.365,"wet"
-0.4125,-1.6575,0.08475,0.624055000000002,0.8,"dry"
-0.36,0.1125,-0.0175,-0.00854999999999961,0.6175,"normal"
-0.1575,0.3125,-0.04775,0.146350000000005,0.17,"wet"
0.5425,1.5875,-0.17025,-0.0903475,-1.0125,"wet"
0.1125,0.3025,-0.10225,-0.148774999999997,-0.23,"wet"
-0.455,0,-0.10325,0.432942500000003,1.555,"wet"
0.315,0.9175,-0.17875,0.330187500000005,0.9975,"normal"
-0.42,-0.6275,-0.0217500000000001,0.175855000000002,0.5125,"dry"
-0.2,-0.29,-0.13375,-0.282752499999997,1.1275,"wet"
3.395,2.0725,-0.0100000000000001,0.845822500000004,0.57,"normal"
-0.00750000000000001,-1.3425,-0.10075,-0.176612499999997,1.005,"wet"
-0.745,-1.53,-0.03825,0.387630000000001,2.4425,"wet"
-0.3225,-0.7275,-0.119,0.203692500000002,-0.9725,"wet"
-0.435,-0.1225,-0.21925,0.0154475000000005,0.44,"wet"
